"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2022","Quintile 4","18","Scotland","Man","1680","5900","0.28400000000000003"
"2023","Quintile 4","18","Scotland","Man","1670","5900","0.28200000000000003"
"2024","Quintile 4","18","Scotland","Man","1760","6250","0.281"
"2015","Quintile 4","18","Wales","Man","1080","3890","0.277"
"2016","Quintile 4","18","Wales","Man","1050","3640","0.28800000000000003"
"2017","Quintile 4","18","Wales","Man","980","3560","0.276"
"2018","Quintile 4","18","Wales","Man","1000","3480","0.28700000000000003"
"2019","Quintile 4","18","Wales","Man","970","3360","0.29"
"2020","Quintile 4","18","Wales","Man","960","3320","0.28800000000000003"
"2021","Quintile 4","18","Wales","Man","1040","3310","0.312"
"2022","Quintile 4","18","Wales","Man","1040","3380","0.307"
"2023","Quintile 4","18","Wales","Man","960","3430","0.279"
"2024","Quintile 4","18","Wales","Man","940","3410","0.274"
"2015","Quintile 5","18","Northern Ireland","Man","910","2220","0.41000000000000003"
"2016","Quintile 5","18","Northern Ireland","Man","880","2180","0.401"
"2017","Quintile 5","18","Northern Ireland","Man","870","2130","0.40700000000000003"
"2018","Quintile 5","18","Northern Ireland","Man","850","2080","0.41100000000000003"
"2019","Quintile 5","18","Northern Ireland","Man","840","1970","0.427"
"2020","Quintile 5","18","Northern Ireland","Man","920","1950","0.47200000000000003"
"2021","Quintile 5","18","Northern Ireland","Man","1060","1950","0.546"
"2022","Quintile 5","18","Northern Ireland","Man","980","2010","0.489"
"2023","Quintile 5","18","Northern Ireland","Man","980","2040","0.482"
"2024","Quintile 5","18","Northern Ireland","Man","970","2080","0.465"
"2015","Quintile 5","18","England","Man","25710","66860","0.384"
"2016","Quintile 5","18","England","Man","25960","66140","0.392"
"2017","Quintile 5","18","England","Man","26040","65700","0.396"
"2018","Quintile 5","18","England","Man","25390","64070","0.396"
"2019","Quintile 5","18","England","Man","25360","62220","0.40800000000000003"
"2020","Quintile 5","18","England","Man","25460","61500","0.41400000000000003"
"2021","Quintile 5","18","England","Man","28830","63470","0.454"
"2022","Quintile 5","18","England","Man","28380","65250","0.435"
"2023","Quintile 5","18","England","Man","27730","66020","0.42"
"2024","Quintile 5","18","England","Man","27660","66040","0.419"
"2015","Quintile 5","18","Scotland","Man","2210","6510","0.34"
"2016","Quintile 5","18","Scotland","Man","2270","6330","0.359"
"2017","Quintile 5","18","Scotland","Man","2250","6410","0.352"
"2018","Quintile 5","18","Scotland","Man","2240","6140","0.364"
"2019","Quintile 5","18","Scotland","Man","2120","5990","0.354"
"2020","Quintile 5","18","Scotland","Man","2230","5900","0.378"
"2021","Quintile 5","18","Scotland","Man","2430","6120","0.397"
"2022","Quintile 5","18","Scotland","Man","2520","6460","0.39"
"2023","Quintile 5","18","Scotland","Man","2470","6310","0.391"
"2024","Quintile 5","18","Scotland","Man","2660","6440","0.41200000000000003"
"2015","Quintile 5","18","Wales","Man","1390","3790","0.368"
"2016","Quintile 5","18","Wales","Man","1350","3650","0.369"
"2017","Quintile 5","18","Wales","Man","1360","3640","0.375"
"2018","Quintile 5","18","Wales","Man","1320","3530","0.372"
"2019","Quintile 5","18","Wales","Man","1330","3620","0.367"
"2020","Quintile 5","18","Wales","Man","1270","3370","0.378"
"2021","Quintile 5","18","Wales","Man","1470","3430","0.43"
"2022","Quintile 5","18","Wales","Man","1390","3420","0.405"
"2023","Quintile 5","18","Wales","Man","1330","3450","0.385"
"2024","Quintile 5","18","Wales","Man","1280","3520","0.364"
"2015","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2016","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2017","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2018","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2019","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
