"Year","POLAR4 Quintile","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2016","Quintile 3","18","Northern Ireland","Man","530","2270","0.231"
"2017","Quintile 3","18","Northern Ireland","Man","530","2250","0.23500000000000001"
"2018","Quintile 3","18","Northern Ireland","Man","520","2200","0.23800000000000002"
"2019","Quintile 3","18","Northern Ireland","Man","520","2090","0.249"
"2020","Quintile 3","18","Northern Ireland","Man","590","2080","0.28300000000000003"
"2021","Quintile 3","18","Northern Ireland","Man","670","2070","0.326"
"2022","Quintile 3","18","Northern Ireland","Man","680","2130","0.319"
"2023","Quintile 3","18","Northern Ireland","Man","630","2170","0.289"
"2024","Quintile 3","18","Northern Ireland","Man","620","2190","0.281"
"2015","Quintile 3","18","England","Man","15710","64020","0.245"
"2016","Quintile 3","18","England","Man","15820","62460","0.253"
"2017","Quintile 3","18","England","Man","16030","61890","0.259"
"2018","Quintile 3","18","England","Man","15550","60230","0.258"
"2019","Quintile 3","18","England","Man","15840","59130","0.268"
"2020","Quintile 3","18","England","Man","15870","58510","0.271"
"2021","Quintile 3","18","England","Man","18120","59840","0.303"
"2022","Quintile 3","18","England","Man","18180","61680","0.295"
"2023","Quintile 3","18","England","Man","17880","63320","0.28200000000000003"
"2024","Quintile 3","18","England","Man","17950","63770","0.28200000000000003"
"2015","Quintile 3","18","Scotland","Man","900","6280","0.14400000000000002"
"2016","Quintile 3","18","Scotland","Man","870","6040","0.14400000000000002"
"2017","Quintile 3","18","Scotland","Man","930","6020","0.155"
"2018","Quintile 3","18","Scotland","Man","860","5700","0.15"
"2019","Quintile 3","18","Scotland","Man","800","5670","0.14100000000000001"
"2020","Quintile 3","18","Scotland","Man","800","5490","0.145"
"2021","Quintile 3","18","Scotland","Man","930","5790","0.16"
"2022","Quintile 3","18","Scotland","Man","1110","5900","0.188"
"2023","Quintile 3","18","Scotland","Man","990","6030","0.163"
"2024","Quintile 3","18","Scotland","Man","1060","6040","0.17500000000000002"
"2015","Quintile 3","18","Wales","Man","990","4280","0.232"
"2016","Quintile 3","18","Wales","Man","990","4160","0.23700000000000002"
"2017","Quintile 3","18","Wales","Man","1010","4160","0.244"
"2018","Quintile 3","18","Wales","Man","940","4020","0.23500000000000001"
"2019","Quintile 3","18","Wales","Man","890","3920","0.228"
"2020","Quintile 3","18","Wales","Man","850","3810","0.222"
"2021","Quintile 3","18","Wales","Man","950","3750","0.253"
"2022","Quintile 3","18","Wales","Man","980","3770","0.259"
"2023","Quintile 3","18","Wales","Man","910","3960","0.231"
"2024","Quintile 3","18","Wales","Man","900","3940","0.227"
"2015","Quintile 4","18","Northern Ireland","Man","840","2960","0.28500000000000003"
"2016","Quintile 4","18","Northern Ireland","Man","860","2930","0.295"
"2017","Quintile 4","18","Northern Ireland","Man","800","2870","0.279"
"2018","Quintile 4","18","Northern Ireland","Man","780","2790","0.28"
"2019","Quintile 4","18","Northern Ireland","Man","750","2640","0.28500000000000003"
"2020","Quintile 4","18","Northern Ireland","Man","830","2610","0.317"
"2021","Quintile 4","18","Northern Ireland","Man","1000","2610","0.381"
"2022","Quintile 4","18","Northern Ireland","Man","900","2700","0.335"
"2023","Quintile 4","18","Northern Ireland","Man","920","2730","0.338"
"2024","Quintile 4","18","Northern Ireland","Man","840","2740","0.307"
"2015","Quintile 4","18","England","Man","19450","66490","0.292"
"2016","Quintile 4","18","England","Man","19950","65460","0.305"
"2017","Quintile 4","18","England","Man","20080","65160","0.308"
"2018","Quintile 4","18","England","Man","20050","63810","0.314"
"2019","Quintile 4","18","England","Man","20380","62470","0.326"
"2020","Quintile 4","18","England","Man","20420","61530","0.332"
"2021","Quintile 4","18","England","Man","23220","63290","0.367"
"2022","Quintile 4","18","England","Man","23380","65280","0.358"
"2023","Quintile 4","18","England","Man","22960","66900","0.343"
"2024","Quintile 4","18","England","Man","22990","67250","0.342"
"2015","Quintile 4","18","Scotland","Man","1280","6970","0.183"
"2016","Quintile 4","18","Scotland","Man","1350","6880","0.197"
"2017","Quintile 4","18","Scotland","Man","1330","6650","0.2"
"2018","Quintile 4","18","Scotland","Man","1260","6420","0.196"
"2019","Quintile 4","18","Scotland","Man","1160","6150","0.188"
"2020","Quintile 4","18","Scotland","Man","1200","6110","0.196"
"2021","Quintile 4","18","Scotland","Man","1400","6410","0.218"
"2022","Quintile 4","18","Scotland","Man","1440","6580","0.219"
"2023","Quintile 4","18","Scotland","Man","1560","6470","0.241"
"2024","Quintile 4","18","Scotland","Man","1550","6710","0.231"
"2015","Quintile 4","18","Wales","Man","850","3010","0.28400000000000003"
"2016","Quintile 4","18","Wales","Man","900","3010","0.299"
"2017","Quintile 4","18","Wales","Man","850","2900","0.291"
"2018","Quintile 4","18","Wales","Man","860","2840","0.303"
"2019","Quintile 4","18","Wales","Man","800","2780","0.28800000000000003"
"2020","Quintile 4","18","Wales","Man","790","2630","0.298"
"2021","Quintile 4","18","Wales","Man","940","2730","0.343"
"2022","Quintile 4","18","Wales","Man","850","2800","0.304"
"2023","Quintile 4","18","Wales","Man","830","2830","0.292"
"2024","Quintile 4","18","Wales","Man","800","2860","0.28"
