"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2023","Quintile 1","18","Wales","Man","500","3890","0.128"
"2024","Quintile 1","18","Wales","Man","460","3950","0.116"
"2015","Quintile 2","18","Northern Ireland","Man","450","2640","0.171"
"2016","Quintile 2","18","Northern Ireland","Man","530","2620","0.202"
"2017","Quintile 2","18","Northern Ireland","Man","490","2590","0.19"
"2018","Quintile 2","18","Northern Ireland","Man","470","2530","0.186"
"2019","Quintile 2","18","Northern Ireland","Man","460","2420","0.191"
"2020","Quintile 2","18","Northern Ireland","Man","590","2400","0.244"
"2021","Quintile 2","18","Northern Ireland","Man","630","2410","0.263"
"2022","Quintile 2","18","Northern Ireland","Man","610","2490","0.245"
"2023","Quintile 2","18","Northern Ireland","Man","630","2530","0.25"
"2024","Quintile 2","18","Northern Ireland","Man","500","2540","0.198"
"2015","Quintile 2","18","England","Man","11030","65190","0.169"
"2016","Quintile 2","18","England","Man","11490","63710","0.18"
"2017","Quintile 2","18","England","Man","11700","63110","0.185"
"2018","Quintile 2","18","England","Man","11550","61950","0.186"
"2019","Quintile 2","18","England","Man","11850","60620","0.195"
"2020","Quintile 2","18","England","Man","12820","60220","0.213"
"2021","Quintile 2","18","England","Man","15180","62350","0.243"
"2022","Quintile 2","18","England","Man","14550","63270","0.23"
"2023","Quintile 2","18","England","Man","14260","65780","0.217"
"2024","Quintile 2","18","England","Man","14970","66910","0.224"
"2015","Quintile 2","18","Scotland","Man","690","5660","0.122"
"2016","Quintile 2","18","Scotland","Man","680","5510","0.123"
"2017","Quintile 2","18","Scotland","Man","710","5530","0.128"
"2018","Quintile 2","18","Scotland","Man","720","5370","0.133"
"2019","Quintile 2","18","Scotland","Man","640","5120","0.125"
"2020","Quintile 2","18","Scotland","Man","630","5140","0.123"
"2021","Quintile 2","18","Scotland","Man","700","5290","0.133"
"2022","Quintile 2","18","Scotland","Man","830","5400","0.153"
