"Year","POLAR4 Quintile","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2016","Quintile 5","18","Northern Ireland","Man","1160","3460","0.335"
"2017","Quintile 5","18","Northern Ireland","Man","1140","3380","0.338"
"2018","Quintile 5","18","Northern Ireland","Man","1130","3290","0.343"
"2019","Quintile 5","18","Northern Ireland","Man","1130","3120","0.36"
"2020","Quintile 5","18","Northern Ireland","Man","1360","3100","0.44"
"2021","Quintile 5","18","Northern Ireland","Man","1470","3100","0.47400000000000003"
"2022","Quintile 5","18","Northern Ireland","Man","1400","3210","0.436"
"2023","Quintile 5","18","Northern Ireland","Man","1350","3250","0.41400000000000003"
"2024","Quintile 5","18","Northern Ireland","Man","1190","3280","0.363"
"2015","Quintile 5","18","England","Man","24810","74020","0.335"
"2016","Quintile 5","18","England","Man","25370","73290","0.34600000000000003"
"2017","Quintile 5","18","England","Man","25760","73290","0.35100000000000003"
"2018","Quintile 5","18","England","Man","25840","72130","0.358"
"2019","Quintile 5","18","England","Man","25700","70980","0.362"
"2020","Quintile 5","18","England","Man","26630","70670","0.377"
"2021","Quintile 5","18","England","Man","32250","73070","0.441"
"2022","Quintile 5","18","England","Man","31180","74970","0.41600000000000004"
"2023","Quintile 5","18","England","Man","29830","76830","0.388"
"2024","Quintile 5","18","England","Man","31350","77100","0.40700000000000003"
"2015","Quintile 5","18","Scotland","Man","3000","9510","0.315"
"2016","Quintile 5","18","Scotland","Man","3050","9400","0.324"
"2017","Quintile 5","18","Scotland","Man","2890","9170","0.315"
"2018","Quintile 5","18","Scotland","Man","2950","8770","0.336"
"2019","Quintile 5","18","Scotland","Man","2780","8620","0.322"
"2020","Quintile 5","18","Scotland","Man","2870","8520","0.337"
"2021","Quintile 5","18","Scotland","Man","3150","8900","0.354"
"2022","Quintile 5","18","Scotland","Man","3320","9180","0.362"
"2023","Quintile 5","18","Scotland","Man","3220","9070","0.355"
"2024","Quintile 5","18","Scotland","Man","3470","9290","0.374"
"2015","Quintile 5","18","Wales","Man","860","2490","0.34500000000000003"
"2016","Quintile 5","18","Wales","Man","890","2300","0.384"
"2017","Quintile 5","18","Wales","Man","850","2330","0.365"
"2018","Quintile 5","18","Wales","Man","840","2250","0.374"
"2019","Quintile 5","18","Wales","Man","860","2310","0.372"
"2020","Quintile 5","18","Wales","Man","900","2250","0.399"
"2021","Quintile 5","18","Wales","Man","1030","2240","0.459"
"2022","Quintile 5","18","Wales","Man","930","2250","0.41300000000000003"
"2023","Quintile 5","18","Wales","Man","910","2140","0.425"
"2024","Quintile 5","18","Wales","Man","900","2290","0.391"
"2015","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2016","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2017","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2018","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2019","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2020","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2021","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2022","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2023","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2024","Quintile 1","18","Northern Ireland","Unknown","0"," ",""
"2015","Quintile 1","18","England","Unknown","0"," ",""
"2016","Quintile 1","18","England","Unknown","0"," ",""
"2017","Quintile 1","18","England","Unknown","0"," ",""
"2018","Quintile 1","18","England","Unknown","0"," ",""
"2019","Quintile 1","18","England","Unknown","0"," ",""
"2020","Quintile 1","18","England","Unknown","0"," ",""
"2021","Quintile 1","18","England","Unknown","0"," ",""
"2022","Quintile 1","18","England","Unknown","0"," ",""
"2023","Quintile 1","18","England","Unknown","0"," ",""
"2024","Quintile 1","18","England","Unknown","0"," ",""
"2015","Quintile 1","18","Scotland","Unknown","0"," ",""
"2016","Quintile 1","18","Scotland","Unknown","0"," ",""
"2017","Quintile 1","18","Scotland","Unknown","0"," ",""
